[2025-10-27T13:10:05.619+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1332, completion-tokens, 43, total-tokens, 1375, cost-ms, 2053, requestId, 27c6bafa-eb25-4f8c-899f-ed5910528062
[2025-10-27T13:25:36.437+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1513, completion-tokens, 73, total-tokens, 1586, cost-ms, 3180, requestId, 1f7ed10a-c323-4448-bb40-9d9555d8e827
[2025-10-27T13:25:39.494+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1513, completion-tokens, 68, total-tokens, 1581, cost-ms, 2502, requestId, 6ed5a709-1eac-424e-9e81-a25e96650f33
[2025-10-27T13:25:44.123+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1513, completion-tokens, 80, total-tokens, 1593, cost-ms, 4125, requestId, f19fe288-e715-4f3f-be32-887ef87d9b7d
[2025-10-27T13:25:47.074+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1513, completion-tokens, 66, total-tokens, 1579, cost-ms, 2426, requestId, 004d68ce-4260-46ab-a217-aacdf5c2bb27
[2025-10-27T13:25:50.929+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1513, completion-tokens, 91, total-tokens, 1604, cost-ms, 3160, requestId, e7dba0f5-180e-4069-b673-40e1b73782d8
[2025-10-27T13:25:55.006+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1513, completion-tokens, 80, total-tokens, 1593, cost-ms, 3578, requestId, 7445a15c-beb0-471a-9e72-7df776d39dc1
[2025-10-27T13:25:58.050+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1513, completion-tokens, 72, total-tokens, 1585, cost-ms, 2509, requestId, 6a2b50c6-7172-458d-bf66-692bc6e43d1a
[2025-10-27T13:26:01.356+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1513, completion-tokens, 70, total-tokens, 1583, cost-ms, 2648, requestId, a0f97c26-76fb-4ab3-88b0-fc434a91b935
[2025-10-27T13:26:07.861+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1513, completion-tokens, 87, total-tokens, 1600, cost-ms, 5921, requestId, 9a3cb98b-3cb4-40a6-8ea1-e19a3d855d84
[2025-10-27T13:26:11.168+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1513, completion-tokens, 73, total-tokens, 1586, cost-ms, 2822, requestId, 5f07cf2a-7e5d-4a68-bcde-282777e88dca
