[2025-10-27T15:04:45.732+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2876, completion-tokens, 141, total-tokens, 3017, cost-ms, 5464, requestId, 16f38ab7-4185-4148-9a6e-66792ede3f59
[2025-10-27T15:13:29.213+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 3165, completion-tokens, 122, total-tokens, 3287, cost-ms, 3738, requestId, 17f67754-648a-4815-8599-75e3fc5b97c4
[2025-10-27T15:13:35.785+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 3303, completion-tokens, 138, total-tokens, 3441, cost-ms, 4320, requestId, 692a6c56-3d69-4a03-9d82-60bb27872a97
[2025-10-27T15:13:42.689+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 3457, completion-tokens, 134, total-tokens, 3591, cost-ms, 4210, requestId, 3ce9ac9f-a444-48b1-a62f-6461130b6530
[2025-10-27T15:13:50.377+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 3590, completion-tokens, 131, total-tokens, 3721, cost-ms, 4655, requestId, 33796a68-a1d9-4c2e-a63a-ad1f2a63594e
[2025-10-27T15:13:54.191+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2873, completion-tokens, 66, total-tokens, 2939, cost-ms, 2435, requestId, 8de77f4a-3c31-4505-bed6-0417140480c1
[2025-10-27T15:14:02.255+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1712, completion-tokens, 63, total-tokens, 1775, cost-ms, 3627, requestId, f7992c07-4d6c-4be4-996f-ad277634f00f
[2025-10-27T15:19:07.265+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2876, completion-tokens, 140, total-tokens, 3016, cost-ms, 5392, requestId, 7133d7fb-8312-49c0-af46-b38d63bf20c0
[2025-10-27T15:19:14.933+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2871, completion-tokens, 122, total-tokens, 2993, cost-ms, 4565, requestId, 1af9d15a-8405-4b32-ae15-e3627e6c883e
[2025-10-27T15:19:25.518+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2876, completion-tokens, 150, total-tokens, 3026, cost-ms, 8056, requestId, e43e2237-f55d-4957-87de-233b5bb0e6d4
[2025-10-27T15:19:34.516+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2873, completion-tokens, 119, total-tokens, 2992, cost-ms, 6330, requestId, 5efd09e1-e935-4c61-b075-6cbff5a03b1b
[2025-10-27T15:19:43.263+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1707, completion-tokens, 103, total-tokens, 1810, cost-ms, 3416, requestId, 7242de94-1e56-4596-9d50-1b35fbbf0df6
[2025-10-27T15:31:22.794+08:00] model, qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 3228, completion-tokens, 143, total-tokens, 3371, cost-ms, 5561, requestId, 1296bb36-d383-44e4-a64f-bb045783edcd
[2025-10-27T15:31:31.186+08:00] model, qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 3223, completion-tokens, 120, total-tokens, 3343, cost-ms, 5327, requestId, 7d0feb63-4b31-4a6e-a121-488ebc3bc2bf
[2025-10-27T15:31:39.029+08:00] model, qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 3228, completion-tokens, 144, total-tokens, 3372, cost-ms, 5260, requestId, 8756f8a7-820c-439c-a38d-519dcbfdb94d
[2025-10-27T15:31:46.599+08:00] model, qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 3225, completion-tokens, 125, total-tokens, 3350, cost-ms, 4960, requestId, fea0425c-1514-43ec-b4e1-5f87b91d5751
[2025-10-27T15:31:54.945+08:00] model, qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2004, completion-tokens, 56, total-tokens, 2060, cost-ms, 2589, requestId, d3a720c7-4670-4346-b2cf-f184a433f561
